App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
App Seguridad AV Villas,Finance,2.3,251,5.7M,"50,000+",Free,0,Everyone,"October 12, 2017",1.0.5,4.0 and up
FVD Ad-Free,Tools,,1774,4.1M,"10,000+",Paid,$1.99,Everyone,"October 5, 2017",4.4.3,3.0 and up
FE CPS,Finance,3.0,62,17M,"10,000+",,0,,"June 26, 2017",0.1.8,4.0 and up
WiFi Action Camera,Sports,2.4,551,903k,"100,000+",Free,0,Everyone,"March 13, 2014",1.4,4.0 and up
Microsoft Word,Productivity,4.5,2078744,Varies with device,"500,000,000+",Free,0,Everyone,"July 11, 2018",16.0.10325.20043,4.4 and up
Learn English Words Free,Education,4.6,172640,14M,"5,000,000+",Free,0,Everyone,"May 2, 2018",2.6.2,4.1 and up
EV Calculator,Tools,4.9,85,19M,"1,000+",Free,0,Everyone,"July 5, 2018",1.20,4.1 and up
C Examples,Education,4.2,1002,4.4M,"10,000+",Free,0,Everyone,"August 31, 2016",3.9,4.0 and up
BU Bison Nation,Sports,3.5,4,40M,100+,Free,0,Everyone,"September 21, 2017",6.0.2,4.4 and up
Tablet Reminder,Medical,5.0,4,2.5M,5+,Free,0,Everyone,"August 3, 2018",1.0,4.1 and up
Blur,Photography,4.0,9013,2.4M,"1,000,000+",Free,0,Everyone,"June 18, 2018",4.0.2,4.4 and up
Range Master: Sniper Academy,Sports,4.1,91935,39M,"10,000,000+",Free,0,Everyone,"April 26, 2018",2.1.3,4.1 and up
BELONG Beating Cancer Together,Medical,4.7,623,20M,"50,000+",Free,0,Teen,"July 29, 2018",4.0.5,4.3 and up
Bitcoin BX Thailand,Finance,3.7,120,31M,"10,000+",Free,0,Everyone,"October 23, 2017",4.1,4.0.3 and up
Sat-Fi,Communication,3.6,97,Varies with device,"5,000+",Free,0,Everyone,"August 31, 2017",Varies with device,Varies with device
Chrome Dev,Communication,4.4,63576,Varies with device,"5,000,000+",Free,0,Everyone,"August 2, 2018",69.0.3497.24,Varies with device
eG Monitor,Productivity,4.6,8,7.5M,100+,Free,0,Everyone,"July 27, 2018",2.0.7,4.1 and up
Power Booster - Junk Cleaner & CPU Cooler & Boost,Productivity,4.5,9653,5.1M,"1,000,000+",Free,0,Everyone,"August 6, 2018",1.2.5,4.1 and up
yHomework - Math Solver,Education,4.2,50771,Varies with device,"1,000,000+",Free,0,Everyone,"May 12, 2016",Varies with device,Varies with device
Middlesbrough FC Official,Sports,4.5,152,36M,"10,000+",Free,0,Everyone,"May 29, 2018",2018.5.25,4.4 and up
Calls & Text by Mo+,Communication,4.2,83239,14M,"5,000,000+",Free,0,Everyone,"April 19, 2018",3.0.4,4.0 and up
AK-47 Sounds,Entertainment,3.9,656,2.9M,"500,000+",Free,0,Everyone 10+,"September 14, 2016",2.0,2.3.3 and up
Tamilnadu Electricity Info,Tools,3.6,216,811k,"10,000+",Free,0,Everyone,"November 9, 2014",2.0,1.0 and up
Ag PhD Soils,Productivity,2.3,3,16M,"1,000+",Free,0,Everyone,"July 16, 2018",1.24.1,4.4 and up
BT Messenger,Communication,3.9,97,598k,"50,000+",Free,0,Everyone,"May 15, 2015",1.0,2.2 and up
EF Calculator,Productivity,4.7,19,Varies with device,"1,000+",Free,0,Everyone,"September 20, 2017",1.6.1,Varies with device
Who viewed my fb profile pro★★,Entertainment,4.5,6396,4.2M,"100,000+",Free,0,Everyone,"August 17, 2017",24.4,4.1 and up
PDF Reader – PDF Editor 2018,Tools,4.1,1648,36M,"500,000+",Free,0,Everyone,"July 31, 2018",9.5.8,4.1 and up
EMT-B Pocket Prep,Medical,4.5,2951,16M,"50,000+",Free,0,Everyone,"July 11, 2018",4.5.2,4.4 and up
Ad Detect Plugin - Handy Tool,Productivity,3.8,5107,1.4M,"500,000+",Free,0,Everyone,"December 28, 2015",1.6.3,2.3 and up
"Evernote – Organizer, Planner for Notes & Memos",Productivity,4.6,1488397,Varies with device,"100,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
Battlelands Royale,Action,4.4,105620,61M,"1,000,000+",Free,0,Everyone 10+,"July 16, 2018",0.5.8,4.1 and up
Kik,Communication,4.3,2451136,Varies with device,"100,000,000+",Free,0,Teen,"August 3, 2018",Varies with device,Varies with device
MLB At Bat,Sports,4.2,82883,Varies with device,"5,000,000+",Free,0,Everyone,"July 30, 2018",Varies with device,Varies with device
UC Browser - Fast Download Private & Secure,Communication,4.5,17714850,40M,"500,000,000+",Free,0,Teen,"August 2, 2018",12.8.5.1121,4.0 and up
World Cup 2018,Sports,4.6,4011,2.6M,"500,000+",Free,0,Teen,"July 1, 2018",1.0.16,2.3 and up
Fraction Calculator Plus Free,Tools,4.5,148506,11M,"5,000,000+",Free,0,Everyone,"July 15, 2018",Varies with device,Varies with device
What is my IP address,Tools,4.5,4228,656k,"500,000+",Free,0,Everyone,"July 2, 2018",2.95,4.0 and up
Ready4 SAT (Prep4 SAT),Education,4.6,13612,48M,"100,000+",Free,0,Everyone,"May 10, 2018",7.2.3633,4.4 and up
Grand Theft Auto V: The Manual,Entertainment,4.1,182103,6.9M,"5,000,000+",Free,0,Teen,"July 31, 2018",5.0.12,3.0 and up
LightMeter Free,Photography,4.1,5485,13M,"1,000,000+",Free,0,Everyone,"April 28, 2016",1.2.3,3.2 and up
du View,Entertainment,3.8,935,22M,"50,000+",Free,0,Teen,"March 26, 2018",6.4.1,4.3 and up
Bus Rush: Subway Edition,Action,4.1,753043,57M,"100,000,000+",Free,0,Teen,"August 1, 2018",1.15.2,4.0.3 and up
BF 4 Guns,Entertainment,4.0,1542,13M,"50,000+",Free,0,Everyone,"June 9, 2015",3.0,3.0 and up
BU Syllabus,Education,4.5,38,6.5M,"1,000+",Free,0,Everyone,"September 21, 2017",1.0.3,4.0.3 and up
Upgrade for Android DU Master,Tools,3.6,12993,5.2M,"1,000,000+",Free,0,Everyone,"January 9, 2017",1.3.0,2.3.3 and up
"AG Contacts, Lite edition",Communication,4.5,185,3.7M,"5,000+",Free,0,Everyone,"May 18, 2018",8.05.18.14250,4.0.3 and up
YouCam Perfect - Selfie Photo Editor,Photography,4.5,1579287,Varies with device,"100,000,000+",Free,0,Everyone,"July 25, 2018",Varies with device,Varies with device
DRAGON BALL LEGENDS,Action,4.6,338742,48M,"5,000,000+",Free,0,Teen,"August 3, 2018",1.11.0,6.0 and up
Morse Decoder for Ham Radio,Communication,3.7,166,2.0M,"5,000+",Paid,$4.99,Everyone,"March 14, 2017",1.52,2.3 and up
BZWBK24 mobile,Finance,4.5,64959,39M,"1,000,000+",Free,0,Everyone,"June 18, 2018",5.0.1,4.1 and up
Hypocam,Photography,4.5,12572,8.5M,"1,000,000+",Free,0,Everyone,"March 14, 2018",1.31,4.0 and up
Zombie Frontier,Action,4.2,326689,20M,"10,000,000+",Free,0,Teen,"May 30, 2018",1.31,4.2 and up
🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,Entertainment,4.7,11661,4.0M,"1,000,000+",Free,0,Everyone,"July 14, 2018",1.1.3.2,4.0.3 and up
m:go BiH,Communication,3.2,559,6.0M,"10,000+",Free,0,Everyone,"July 25, 2018",3.4,3.0 and up
Fever Meter,Medical,3.6,26,975k,"5,000+",Free,0,Everyone,"May 10, 2015",1.1,2.2 and up
Unit Converter Pro,Tools,4.5,12718,Varies with device,"1,000,000+",Free,0,Everyone,"March 5, 2018",Varies with device,Varies with device
